
hour,day_of_week,historical_price,energy_demand,base_price
22,2,37.34,82.69,37.92
13,3,65.8,166.66,69.46
15,4,54.37,140.58,56.71
22,1,32.58,105.43,37.07
9,1,48.95,120.02,52.59
12,3,82.38,168.52,85.1
19,3,62.29,159.03,62.93
18,2,68.02,138.18,71.4
9,2,38.59,122.81,40.16
7,4,36.93,114.11,40.7
20,1,67.41,150.8,70.37
20,4,58.54,130.05,60.2
2,0,29.35,83.85,32.42
23,6,47.58,105.53,49.42
8,5,55.89,120.12,59.79
21,4,41.44,137.13,45.22
8,2,57.47,117.29,59.05
19,2,41.31,129.76,43.79
11,0,67.71,138.39,70.61
15,0,92.43,187.2,95.54
8,1,56.54,120.9,59.17
13,4,72.91,152.42,73.38
1,4,30.88,74.18,33.5
12,0,74.75,155.24,77.94
12,3,71.3,179.9,72.37
11,5,52.97,144.71,56.72
2,4,27.96,89.81,30.02
7,4,54.76,125.55,58.36
16,0,76.29,154.85,79.47
11,4,80.3,161.04,84.27
4,3,38.33,94.74,40.91
8,0,49.22,115.68,54.51
21,2,58.8,138.67,62.76
7,1,43.9,118.42,44.36
17,3,60.76,131.31,63.81
15,4,65.83,158.16,69.3
1,1,50.64,101.79,52.43
16,2,66.34,134.3,70.87
16,4,66.43,163.28,68.21
4,5,40.81,91.66,44.52
9,1,36.32,106.49,37.86
0,2,38.66,81.28,40.15
7,1,48.52,111.72,50.57
1,5,42.88,91.15,47.71
21,3,57.99,152.32,60.74
15,6,62.47,182.34,66.28
5,3,38.69,90.54,41.55
14,2,67.06,163.77,68.88
0,6,50.22,106.29,50.65
4,4,28.59,72.97,31.01
1,5,29.58,69.33,31.95
15,2,55.67,165.5,56.76
23,0,38.74,89.37,42.68
17,4,51.0,152.05,52.31
20,5,47.34,138.72,48.29
1,0,33.76,109.65,36.31
14,0,53.63,161.84,59.09
15,4,80.91,162.72,82.25
14,6,72.08,159.47,74.66
13,1,82.76,172.77,83.78
13,2,56.64,145.42,59.26
2,2,30.75,81.89,31.89
9,6,39.98,109.39,41.5
11,0,71.16,163.27,75.02
2,0,33.11,81.26,35.6
1,6,27.86,85.59,32.74
8,4,55.48,133.96,56.01
23,2,31.37,90.28,34.06
21,4,44.67,134.5,46.23
10,5,70.74,147.57,72.42
22,2,32.26,64.97,35.78
5,1,29.5,97.97,32.21
21,0,74.98,161.54,77.37
1,6,33.93,72.54,40.35
4,5,39.14,96.41,40.42
0,1,35.25,87.87,37.96
3,4,30.66,83.48,33.24
9,4,45.64,130.06,47.28
4,0,37.58,95.3,42.24
22,2,44.64,95.77,46.84
11,1,80.74,165.57,82.34
11,2,66.92,161.3,69.19
7,2,37.95,114.05,41.33
20,4,59.28,146.52,63.34
3,0,40.45,87.3,44.37
6,5,49.98,122.5,53.68
14,0,62.13,164.9,64.3
13,4,52.88,163.53,56.54
5,2,24.66,75.21,28.87
14,6,81.15,169.49,87.06
3,4,29.87,85.41,31.09
22,0,41.05,90.72,42.83
9,0,45.42,120.87,46.5
12,3,59.17,179.3,61.0
14,3,74.71,174.46,78.67
18,3,44.45,120.41,47.37
10,5,61.8,162.56,65.55
14,1,68.71,162.71,75.18
14,3,71.05,146.87,73.85
4,4,34.09,82.1,37.3
8,5,38.88,116.71,40.67
3,5,30.89,85.27,34.82
18,6,48.8,132.94,51.1
19,0,72.71,150.23,71.72
1,6,40.1,102.7,41.37
10,2,47.98,143.12,50.26
6,3,47.69,128.04,49.96
10,5,60.42,149.91,61.94
16,3,91.66,194.15,91.72
7,0,41.51,109.4,42.34
18,2,52.43,133.19,56.62
16,4,73.6,176.29,75.51
0,5,37.58,92.35,42.8
16,1,58.95,183.88,61.42
7,4,42.92,121.1,45.15
18,5,77.83,156.98,80.52
17,6,54.64,158.66,57.19
23,6,30.55,90.99,32.85
0,3,30.15,86.49,32.31
13,5,67.03,154.59,71.27
20,5,44.52,147.12,46.55
6,0,47.37,123.26,47.99
1,0,29.83,84.77,33.9
1,2,31.62,74.43,35.03
5,5,34.22,99.5,36.18
21,3,69.76,151.66,72.21
16,1,67.62,192.33,71.13
21,5,44.14,124.54,46.8
10,5,55.69,135.56,59.02
5,1,27.68,84.39,30.65
5,2,45.99,106.21,50.84
